date,pm2_5_mean,pm2_5_max,wind_speed_mean,wind_u_mean,wind_v_mean,temperature_mean,rh_mean,blh_mean,precip_sum,aod_extinction,merra2_surf_pm25_ugm3,aod_missing,pm25_lag7,season
8/8/2022,9.0375,12.1,15.79583333,13.18431978,-7.211494274,29.1625,79.58333333,734.5833333,4.6,0.178809007,11.07986317,0,145.4647054,Monsoon
8/9/2022,7.216666667,9.4,22.64583333,17.03565206,-14.34052814,28.4,79.29166667,904.7916667,2.1,0.189487652,15.43981841,0,147.3453913,Monsoon
8/10/2022,6.325,8.1,24.74166667,19.7454169,-14.52222112,27.9,80.16666667,920,3,0.271433987,23.77342785,0,155.0312517,Monsoon
8/11/2022,8.2125,13,22.20833333,15.50089248,-14.58421409,28.04166667,78.20833333,828.125,1.7,0.189219529,20.83240539,0,42.90431691,Monsoon
8/12/2022,11.93333333,13.6,12.675,7.025611852,-9.667446585,28.85833333,78.41666667,511.25,1.9,0.128784869,9.636406482,0,13.0125,Monsoon
8/13/2022,9.8625,14.4,17.09583333,14.15377802,-9.213390947,28.82916667,77.54166667,675.2083333,1.4,0.132999073,13.7785955,0,13.525,Monsoon
8/14/2022,8.016666667,13.5,24.90416667,18.65095722,-15.16988208,27.96666667,78.375,920.8333333,4.2,0.197314041,21.95191029,0,11.54583333,Monsoon
8/15/2022,13.35,22.5,16.125,7.977545338,-12.68625384,28.17083333,81.5,613.9583333,1.2,0.228584095,24.35752165,0,9.0375,Monsoon
8/16/2022,22.4,33.4,8.658333333,-3.31101451,-7.086888935,29.31666667,79.16666667,432.0833333,1.2,0.250308823,24.23485678,0,7.216666667,Monsoon
8/17/2022,45.16666667,77.5,4.570833333,-2.575367679,1.483629173,30.24583333,78.29166667,392.9166667,0.3,0.432210377,30.60028986,0,6.325,Monsoon
8/18/2022,48.7,70.5,9.883333333,-1.034159821,6.950841951,31,74.66666667,530.625,17.8,0.348501869,31.35338701,0,8.2125,Monsoon
8/19/2022,13.18333333,29.7,18.37916667,15.87007497,-7.760225116,29.19166667,77.08333333,795.8333333,1,0.183195978,19.19613341,0,11.93333333,Monsoon
8/20/2022,8.670833333,12.6,19.8,12.04366575,-15.15270093,28.91666667,78.25,799.7916667,4.8,0.251670914,22.49102123,0,9.8625,Monsoon
8/21/2022,14.72083333,17.8,11.425,4.73246851,-9.708832327,29.25,79.33333333,513.125,0.8,0.245902779,26.2086789,0,8.016666667,Monsoon
8/22/2022,20.20416667,27.3,6.333333333,1.827234705,-4.871402035,29.76666667,79.58333333,409.1666667,1.6,0.219543919,27.85760598,0,13.35,Monsoon
8/23/2022,18.0375,30.6,10.6875,7.997100731,-5.972632004,27.92916667,84.83333333,368.9583333,15.3,0.186847838,18.88936107,0,22.4,Monsoon
8/24/2022,10.94166667,14.8,17.3,11.71397506,-11.29911327,28.37916667,79.125,730.2083333,1.2,0.11019749,8.862517902,0,45.16666667,Monsoon
8/25/2022,22.00416667,30.3,7.429166667,1.929919902,-6.745646179,28.74583333,77.70833333,536.25,0.1,0.195702544,16.00657818,0,48.7,Monsoon
8/26/2022,23.78333333,34,7.091666667,-5.222992507,-4.005597392,29.74166667,76.70833333,483.3333333,0.4,0.319170428,19.41340836,0,13.18333333,Monsoon
8/27/2022,21.62916667,26.5,12.32916667,-0.994340482,-11.65686816,28.97083333,80.875,576.875,1.2,0.318820068,20.02799596,0,8.670833333,Monsoon
8/28/2022,18.32083333,30,12.41666667,2.468901874,-11.77856461,28.17083333,83.29166667,618.75,8.1,0.259702743,21.62203927,0,14.72083333,Monsoon
8/29/2022,18.15,28.8,8.191666667,0.02740105,-7.822193679,29.24166667,78.45833333,467.7083333,0.6,0.206340599,16.24422849,0,20.20416667,Monsoon
8/30/2022,20.1125,38,7.720833333,-2.909253088,-6.314562432,30.075,73.79166667,520.4166667,0,0.209162374,14.07768344,0,18.0375,Monsoon
8/31/2022,17.75,32.2,9.425,-3.641728929,-8.279189751,30.225,74.41666667,558.3333333,0,0.190355244,8.01555399,0,10.94166667,Monsoon
9/1/2022,16.375,29.5,9.020833333,-3.260855117,-8.018160725,29.6125,78.5,570.8333333,1.9,0.197301287,6.39789115,0,22.00416667,Monsoon
9/2/2022,26.15416667,52.2,9.070833333,-1.529042332,-7.707997268,29.0375,80.95833333,488.9583333,6.3,0.271718434,13.74572666,0,23.78333333,Monsoon
9/3/2022,22.9375,46.8,11.1875,-4.085382085,-9.698591826,28.9375,83.41666667,503.125,9,0.414163491,14.69559508,0,21.62916667,Monsoon
9/4/2022,22.08333333,25.3,8.516666667,0.047629705,-7.813198766,27.69166667,87.41666667,423.5416667,47,0.423454458,18.9339197,0,18.32083333,Monsoon
9/5/2022,15.95833333,22.9,10.60833333,2.529109134,-10.08417632,27.81666667,87.08333333,446.0416667,6.9,0.323044289,13.84408342,0,18.15,Monsoon
9/6/2022,18.7375,39.6,6.979166667,3.054702495,-5.221529415,28.375,84.75,343.75,4,0.43207881,20.5204812,0,20.1125,Monsoon
9/7/2022,24.01666667,42,5.9375,5.30970722,-1.798598938,29.76666667,80.125,363.3333333,0.2,0.206802199,17.46276198,0,17.75,Monsoon
9/8/2022,34.425,75.7,4.6625,1.832960224,1.077158393,30.22083333,80.875,423.9583333,0.5,0.242334085,17.02788415,0,16.375,Monsoon
9/9/2022,31.73333333,45.3,7.004166667,1.573605675,-2.029887548,29.66666667,82.66666667,409.5833333,5.8,0.36411902,21.70369106,0,26.15416667,Monsoon
9/10/2022,18.54166667,27.9,9.608333333,6.39125115,-5.039534687,28.20416667,84.20833333,547.2916667,18.1,0.183862699,11.11740238,0,22.9375,Monsoon
9/11/2022,10.55416667,13.5,15.40416667,11.00147999,-10.06849452,26.11666667,90.58333333,614.7916667,21.4,0.147096149,15.29130522,0,22.08333333,Monsoon
9/12/2022,9.3875,14.5,15.1375,10.47786133,-10.68389874,25.225,92.875,467.7083333,25.5,0.158180901,16.75689591,0,15.95833333,Monsoon
9/13/2022,10.46666667,16.2,13.9625,8.460147942,-10.65543481,25.00416667,94.20833333,417.5,52.6,0.183716625,20.00664425,0,18.7375,Monsoon
9/14/2022,10.81666667,15.1,12.25416667,4.526441851,-10.79256138,24.88333333,94.75,354.5833333,43.8,0.152532293,13.4712189,0,24.01666667,Monsoon
