Title:,"Time Series, Area-Averaged of Total Surface Mass Concentration - PM2.5, time average hourly 0.5 x 0.625 (hourly)"
User Start Date:,2018-01-01T00:00:00Z
User End Date:,2025-01-31T23:59:59Z
User Bounding Box:,"90.1,23.5,90.8,24.1"
Data Bounding Box:,"90.625,23.5,90.625,24"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2018-01-01T00:00:00Z&endtime=2025-01-31T23:59:59Z&bbox=90.1,23.5,90.8,24.1&data=M2T1NXAER_5_12_4_TOTSMASS25%2CM2T1NXAER_5_12_4_TOTEXTTAU%2CM2T1NXAER_5_12_4_TOTCMASS25&dataKeyword=AOD&portal=GIOVANNI&format=json"
Fill Value (mean_M2T1NXAER_5_12_4_TOTSMASS25):, 999999986991104

time, mean_M2T1NXAER_5_12_4_TOTSMASS25
2018-01-01 00:30:00,3.95909439e-08
2018-01-01 01:30:00,3.8268115e-08
2018-01-01 02:30:00,3.71988172e-08
2018-01-01 03:30:00,2.91081354e-08
2018-01-01 04:30:00,2.47261996e-08
2018-01-01 05:30:00,2.4147296e-08
2018-01-01 06:30:00,5.20554741e-08
2018-01-01 07:30:00,5.03488062e-08
2018-01-01 08:30:00,4.95256985e-08
2018-01-01 09:30:00,4.54655347e-08
2018-01-01 10:30:00,4.50744721e-08
2018-01-01 11:30:00,4.43895143e-08
2018-01-01 12:30:00,4.41362762e-08
2018-01-01 13:30:00,4.42160009e-08
2018-01-01 14:30:00,4.43255821e-08
2018-01-01 15:30:00,4.45180794e-08
2018-01-01 16:30:00,4.48249876e-08
2018-01-01 17:30:00,4.56610829e-08
2018-01-01 18:30:00,4.71328041e-08
2018-01-01 19:30:00,4.82017449e-08
2018-01-01 20:30:00,4.96676784e-08
2018-01-01 21:30:00,5.10724524e-08
2018-01-01 22:30:00,5.21345446e-08
2018-01-01 23:30:00,5.0718139e-08
2018-01-02 00:30:00,4.79148605e-08
2018-01-02 01:30:00,4.70710347e-08
2018-01-02 02:30:00,4.73545363e-08
2018-01-02 03:30:00,6.60410991e-08
2018-01-02 04:30:00,5.59500689e-08
2018-01-02 05:30:00,4.80427824e-08
2018-01-02 06:30:00,7.27625383e-08
2018-01-02 07:30:00,7.15106687e-08
2018-01-02 08:30:00,7.17454274e-08
2018-01-02 09:30:00,7.22111802e-08
2018-01-02 10:30:00,7.24138472e-08
2018-01-02 11:30:00,7.26428223e-08
2018-01-02 12:30:00,7.26398977e-08
2018-01-02 13:30:00,7.24561466e-08
2018-01-02 14:30:00,7.20806548e-08
2018-01-02 15:30:00,7.15892377e-08
2018-01-02 16:30:00,7.12487692e-08
2018-01-02 17:30:00,7.12759819e-08
2018-01-02 18:30:00,7.18808024e-08
2018-01-02 19:30:00,7.34713979e-08
2018-01-02 20:30:00,7.60941852e-08
2018-01-02 21:30:00,7.97923406e-08
2018-01-02 22:30:00,8.47762448e-08
2018-01-02 23:30:00,8.98803992e-08
2018-01-03 00:30:00,9.29403578e-08
2018-01-03 01:30:00,9.02893419e-08
2018-01-03 02:30:00,8.87018559e-08
2018-01-03 03:30:00,8.69057105e-08
2018-01-03 04:30:00,8.58455093e-08
2018-01-03 05:30:00,8.03813535e-08
2018-01-03 06:30:00,7.31547922e-08
2018-01-03 07:30:00,6.90691545e-08
2018-01-03 08:30:00,6.79767154e-08
2018-01-03 09:30:00,8.20209762e-08
2018-01-03 10:30:00,8.98814283e-08
2018-01-03 11:30:00,9.91097629e-08
2018-01-03 12:30:00,1.09216311e-07
2018-01-03 13:30:00,1.20038195e-07
2018-01-03 14:30:00,1.3106729e-07
2018-01-03 15:30:00,1.41233823e-07
2018-01-03 16:30:00,1.48980077e-07
2018-01-03 17:30:00,1.53720987e-07
2018-01-03 18:30:00,1.56032211e-07
2018-01-03 19:30:00,1.56336385e-07
2018-01-03 20:30:00,1.55979522e-07
2018-01-03 21:30:00,1.56013661e-07
2018-01-03 22:30:00,1.56538705e-07
2018-01-03 23:30:00,1.57230222e-07
2018-01-04 00:30:00,1.57176053e-07
2018-01-04 01:30:00,1.55613843e-07
2018-01-04 02:30:00,1.49598723e-07
2018-01-04 03:30:00,7.92967376e-08
2018-01-04 04:30:00,7.85734065e-08
2018-01-04 05:30:00,7.56028445e-08
2018-01-04 06:30:00,1.12539187e-07
2018-01-04 07:30:00,1.065697e-07
2018-01-04 08:30:00,1.0342124e-07
2018-01-04 09:30:00,1.02044114e-07
2018-01-04 10:30:00,1.01796827e-07
2018-01-04 11:30:00,1.03169074e-07
2018-01-04 12:30:00,1.04890798e-07
2018-01-04 13:30:00,1.06615506e-07
2018-01-04 14:30:00,1.08138056e-07
2018-01-04 15:30:00,1.09365108e-07
2018-01-04 16:30:00,1.10308119e-07
2018-01-04 17:30:00,1.11140578e-07
2018-01-04 18:30:00,1.12043584e-07
2018-01-04 19:30:00,1.13020227e-07
2018-01-04 20:30:00,1.14058475e-07
2018-01-04 21:30:00,1.1495518e-07
